Mission_ID;Mission_Month;Mission_Day;Mission_Year;Target_Longitude;Target_Latitude;Target_Country;Target_City;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Type;Target Industry;Target Priority;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;"Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID;Mission_Date;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID";Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61
1;8;15;1943;15.37;38.22;ITALY;SPADAFORA;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;40675;;;;;20;;20;;;;;40;500 LB GP (GP-M43/M64);;10;;;;;;;;;;10;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
2;8;15;1943;147;-7.166666667;NEW_GUINEA;KOMIATUM;PTO;USA;5 AF;400 BS;B24;;1;;;;;;RIDGE;;1;44;;6;;;;;;40;1000 LB GP (GP-M44/M65);;20;;;;;;;;;;20;;;"9366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
3;8;15;1943;16.25;39.27;ITALY;COSENZA;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;9630;;;;;18;;36;;;;;36;500 LB GP (GP-M43/M64);;9;;;;;;;;;;9;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
4;8;15;1943;15.9;38.43;ITALY;GIOJA_TAURO;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;16140;;;;;15;;15;;1;;;30;500 LB GP (GP-M43/M64);;7.5;;;;;;;;;;7.5;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
5;8;15;1943;103.8833333;-1.116666667;SUMATRA;KILA;PTO;USA;5 AF;321 BS;B24;;1;;;;;;VILLAGE;;1;60;;6;;;;;;16;1000 LB GP (GP-M44/M65);;8;;;;;;;;;;8;;;"22585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
6;8;15;1943;147;-7.166666667;NEW_GUINEA;KDMIATUM;PTO;USA;5 AF;319 BS;B24;;1;;;;;;UNIDENTIFIED TARGET;;1;35;;6;;;;;;8;1000 LB GP (GP-M44/M65);;4;;;;;;;;;;4;;;"9349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
7;8;15;1943;147.1166667;-7.016666667;NEW_GUINEA;SALAMAUA;PTO;USA;5 AF;400 BS;B24;;12;;;;;;UNIDENTIFIED TARGET;;1;70;;1;;;;;;4;500 LB GP (GP-M43/M64);;1;;;;;;;;;;1;;;"11287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
8;8;15;1943;147.1166667;-7.016666667;NEW_GUINEA;SALAMAUA;PTO;USA;5 AF;65 BS;B17;;1;;;;;;AIRDROME;;1;40;;8;;;;;;4;1000 LB GP (GP-M44/M65);;2;;;;;;;;;;2;;;"11326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
9;8;15;1943;15.72;38.23;ITALY;SCILLA;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;39469;;;;;0;;;;;;;0;500 LB GP (GP-M43/M64);;0;;;;;;;;;;0;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
10;8;15;1943;15.9;38.43;ITALY;GIOJA_TAURO;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131022;14.321464;16140;;ARMAMENT AND ORDNANCE PLANTS;;;0;;;;;;;0;500 LB GP (GP-M43/M64);;0;;;;;;;;;;0;;;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;
