Mission ID;MissionDate;;;Theater of Operations;Country;Air Force;Unit ID;Aircraft Series;Callsign;Mission Type;Takeoff Base;Takeoff Location;Takeoff Latitude;Takeoff Longitude;Target ID;Target Country;Target City;Target Type;Target Industry;Target Priority;Target Latitude;Target Longitude;Altitude (Hundreds of Feet);Airborne Aircraft;Attacking Aircraft;Bombing Aircraft;Aircraft Returned;Aircraft Failed;Aircraft Damaged;Aircraft Lost;High Explosives;High Explosives Type;High Explosives Weight (Pounds);High Explosives Weight (Tons);Incendiary Devices;Incendiary Devices Type;Incendiary Devices Weight (Pounds);Incendiary Devices Weight (Tons);Fragmentation Devices;Fragmentation Devices Type;Fragmentation Devices Weight (Pounds);Fragmentation Devices Weight (Tons);Total Weight (Pounds);Total Weight (Tons);Time Over Target;Bomb Damage Assessment;Source ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mission ID
1;8;15;1943;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131.022;14.321.464;40675;ITALY;SPADAFORA;;;;38.22;15.37;;20;;20;;;;;40;500 LB GP (GP-M43/M64);;10;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;8;15;1943;PTO;USA;5 AF;400 BS;B24;;1;;;;;;NEW GUINEA;KOMIATUM;RIDGE;;1;-7.166.666.667;147;44;;6;;;;;;40;1000 LB GP (GP-M44/M65);;20;;;;;;;;;;20;;;9366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;8;15;1943;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131.022;14.321.464;9630;ITALY;COSENZA;;;;39.27;16.25;;18;;36;;;;;36;500 LB GP (GP-M43/M64);;9;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;8;15;1943;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131.022;14.321.464;16140;ITALY;GIOJA TAURO;;;;38.43;15.9;;15;;15;;1;;;30;500 LB GP (GP-M43/M64);;7.5;;;;;;;;;;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;8;15;1943;PTO;USA;5 AF;321 BS;B24;;1;;;;;;SUMATRA;KILA;VILLAGE;;1;-1.116.666.667;1.038.833.333;60;;6;;;;;;16;1000 LB GP (GP-M44/M65);;8;;;;;;;;;;8;;;22585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;8;15;1943;PTO;USA;5 AF;319 BS;B24;;1;;;;;;NEW GUINEA;KDMIATUM;UNIDENTIFIED TARGET;;1;-7.166.666.667;147;35;;6;;;;;;8;1000 LB GP (GP-M44/M65);;4;;;;;;;;;;4;;;9349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;8;15;1943;PTO;USA;5 AF;400 BS;B24;;12;;;;;;NEW GUINEA;SALAMAUA;UNIDENTIFIED TARGET;;1;-7.016.666.667;1.471.166.667;70;;1;;;;;;4;500 LB GP (GP-M43/M64);;1;;;;;;;;;;1;;;11287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;15;1943;PTO;USA;5 AF;65 BS;B17;;1;;;;;;NEW GUINEA;SALAMAUA;AIRDROME;;1;-7.016.666.667;1.471.166.667;40;;8;;;;;;4;1000 LB GP (GP-M44/M65);;2;;;;;;;;;;2;;;11326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;8;15;1943;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131.022;14.321.464;39469;ITALY;SCILLA;;;;38.23;15.72;;0;;;;;;;0;500 LB GP (GP-M43/M64);;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;8;15;1943;MTO;USA;12 AF;27 FBG/86 FBG;A36;;;PONTE OLIVO AIRFIELD;SICILY;37.131.022;14.321.464;16140;ITALY;GIOJA TAURO;;ARMAMENT AND ORDNANCE PLANTS;;38.43;15.9;;0;;;;;;;0;500 LB GP (GP-M43/M64);;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
